"","start","end","distance"
"1078","92XS","KMFE",35
"1079","9R5","KMFE",113
"1080","9TE5","KMFE",136
"1081","KALI","KMFE",94
"1082","KBRO","KMFE",47
"1083","KCRP","KMFE",103
"1084","KHBV","KMFE",75
"1085","KHRL","KMFE",32
"1086","KLRD","KMFE",105
"1087","KMFE","KNGP",104
"1088","KMFE","KNOG",104
"1089","KMFE","KNQI",82
"1090","KMFE","KPIL",48
"1091","KMFE","KRKP",131
"1092","KMFE","KZ0E",100
"1093","KMFE","MM0J",104
"1094","KMFE","MM0N",111
"1095","KMFE","MM1D",108
"1096","KMFE","MM1F",53
"1097","KMFE","MM1L",71
"1098","KMFE","MM1R",145
"1099","KMFE","MMAL",71
"1100","KMFE","MMAN",110
"1101","KMFE","MMIO",150
"1102","KMFE","MMMA",46
"1103","KMFE","MMMY",104
"1104","KMFE","MMNL",104
"1105","KMFE","MMRX",10
"1106","KMFE","NGW",101
"1107","KMFE","T05",49
"1108","KMFE","T18",62
"1109","KMFE","T19",104
"1110","KMFE","T43",117
"1111","KMFE","T53",100
"1112","KMFE","T65",14
"1113","KMFE","T69",118
"1114","KMFE","T80",83
"1115","KMFE","T86",72
"1116","KMFE","TA44",57
"1117","KMFE","TE29",134
"1118","KMFE","TE32",95
"1119","KMFE","TE59",5
"1120","KMFE","TE62",105
"1121","KMFE","TE87",115
"1122","KMFE","TS05",17
"1123","KMFE","TS69",82
"1124","KMFE","TS94",51
"1125","KMFE","TX27",110
"1126","KMFE","TX56",95
"1127","KMFE","XS10",139
"1128","KMFE","XS19",9
"1129","KMFE","XS50",72
"1130","KMFE","XS51",74
"1131","KMFE","XS56",29
"1132","KMFE","XS63",37
"1133","KMFE","XS64",37
"1134","KMFE","XS66",101
"1135","KMFE","XS67",125
"1136","KMFE","XS93",37
"1137","KMFE","XS94",85
"1138","KMFE","Z21Z",72
"1139","02AK","3AK5",98
"1140","05AK","3AK5",108
"1141","0AK1","3AK5",103
"1142","0AK3","3AK5",100
"1143","10AK","3AK5",94
"1144","13AK","3AK5",92
"1145","14AK","3AK5",104
"1146","16AK","3AK5",102
"1147","1AK4","3AK5",42
"1148","1AK6","3AK5",88
"1149","1AK7","3AK5",93
"1150","21AK","3AK5",108
"1151","23AK","3AK5",103
"1152","24AK","3AK5",94
"1153","25AK","3AK5",91
"1154","2AK4","3AK5",70
"1155","2AK7","3AK5",125
"1156","2R3","3AK5",26
"1157","30AK","3AK5",27
"1158","33AK","3AK5",121
"1159","34AK","3AK5",104
"1160","36AK","3AK5",76
"1161","38AK","3AK5",93
"1162","39AK","3AK5",104
"1163","3A3","3AK5",95
"1164","3AK1","3AK5",89
"1165","3AK2","3AK5",104
"1166","3AK3","3AK5",131
"1167","3AK4","3AK5",24
"1168","3AK5","3AK6",103
"1169","3AK5","3AK7",88
"1170","3AK5","3AK8",103
"1171","3AK5","3H3",103
"1172","3AK5","40AK",39
"1173","3AK5","41AK",30
"1174","3AK5","42AK",98
"1175","3AK5","43AK",97
"1176","3AK5","44AK",61
"1177","3AK5","46AK",61
"1178","3AK5","47AK",88
"1179","3AK5","49AK",107
"1180","3AK5","4AK2",99
"1181","3AK5","4AK6",105
"1182","3AK5","4K0",76
"1183","3AK5","4Z9",71
"1184","3AK5","52AK",28
"1185","3AK5","52Z",79
"1186","3AK5","53AK",36
"1187","3AK5","54AK",97
"1188","3AK5","55AK",90
"1189","3AK5","56AK",95
"1190","3AK5","57AK",78
"1191","3AK5","58AK",101
"1192","3AK5","59AK",103
"1193","3AK5","5AK0",17
"1194","3AK5","5AK5",102
"1195","3AK5","5AK6",102
"1196","3AK5","5AK8",101
"1197","3AK5","5AK9",104
"1198","3AK5","5BL",60
"1199","3AK5","5HO",77
"1200","3AK5","5KS",30
"1201","3AK5","5L6",100
"1202","3AK5","5NN",88
"1203","3AK5","5Z7",70
"1204","3AK5","62AK",96
"1205","3AK5","63AK",88
"1206","3AK5","64AK",81
"1207","3AK5","65AK",100
"1208","3AK5","6AK",91
"1209","3AK5","6AK2",75
"1210","3AK5","6AK3",27
"1211","3AK5","6AK5",68
"1212","3AK5","6AK7",94
"1213","3AK5","6AK8",95
"1214","3AK5","6AK9",96
"1215","3AK5","6Z1",26
"1216","3AK5","71AK",96
"1217","3AK5","78Z",92
"1218","3AK5","7AK3",30
"1219","3AK5","7AK4",97
"1220","3AK5","7AK5",37
"1221","3AK5","7AK6",37
"1222","3AK5","7AK8",97
"1223","3AK5","87AK",105
"1224","3AK5","88AK",38
"1225","3AK5","89AK",92
"1226","3AK5","8AK2",27
"1227","3AK5","8AK4",39
"1228","3AK5","8AK6",73
"1229","3AK5","8AK8",96
"1230","3AK5","8KA",108
"1231","3AK5","99Z",104
"1232","3AK5","9AK3",33
"1233","3AK5","9AK5",76
"1234","3AK5","9AK6",96
"1235","3AK5","9AK7",91
"1236","3AK5","9AK8",95
"1237","3AK5","9K2",106
"1238","3AK5","9Z9",84
"1239","3AK5","A27",71
"1240","3AK5","A89",92
"1241","3AK5","AK00",48
"1242","3AK5","AK07",82
"1243","3AK5","AK08",94
"1244","3AK5","AK12",74
"1245","3AK5","AK17",57
"1246","3AK5","AK18",53
"1247","3AK5","AK24",94
"1248","3AK5","AK25",97
"1249","3AK5","AK27",97
"1250","3AK5","AK34",96
"1251","3AK5","AK39",59
"1252","3AK5","AK44",120
"1253","3AK5","AK65",102
"1254","3AK5","AK72",81
"1255","3AK5","AK73",27
"1256","3AK5","AK83",97
"1257","3AK5","AK90",92
"1258","3AK5","AK92",75
"1259","3AK5","AK95",91
"1260","3AK5","BGQ",89
"1261","3AK5","BLG",48
"1262","3AK5","CSR",78
"1263","3AK5","FKK",125
"1264","3AK5","JLA",73
"1265","3AK5","KEB",75
"1266","3AK5","L85",35
"1267","3AK5","LHD",73
"1268","3AK5","LKK",132
"1269","3AK5","NIN",38
"1270","3AK5","PABV",92
"1271","3AK5","PAED",80
"1272","3AK5","PAEN",27
"1273","3AK5","PAFL",124
"1274","3AK5","PAFR",84
"1275","3AK5","PAFW",126
"1276","3AK5","PAHO",60
"1277","3AK5","PAIL",96
"1278","3AK5","PAMR",78
"1279","3AK5","PANC",73
"1280","3AK5","PASO",70
"1281","3AK5","PASW",87
"1282","3AK5","PASX",34
"1283","3AK5","PATK",120
"1284","3AK5","PAUO",93
"1285","3AK5","PAWD",86
"1286","3AK5","PAWS",97
"1287","3AK5","PGM",75
"1288","3AK5","T66",95
"1289","3AK5","TPO",68
"1290","3AK5","TYE",42
"1291","3AK5","Z40",83
"1292","3AK5","Z41",74
"1293","0Z3","PAKN",64
"1294","17Z","PAKN",77
"1295","2A3","PAKN",109
"1296","37AK","PAKN",60
"1297","3AK","PAKN",10
"1298","3Z8","PAKN",94
"1299","4AK7","PAKN",71
"1300","4AK9","PAKN",12
"1301","4K0","PAKN",103
"1302","5A8","PAKN",71
"1303","5KO","PAKN",16
"1304","5NK","PAKN",12
"1305","5NN","PAKN",96
"1306","5Z9","PAKN",28
"1307","76Z","PAKN",20
"1308","8AK0","PAKN",11
"1309","93AK","PAKN",58
"1310","9A8","PAKN",73
"1311","9K2","PAKN",73
"1312","9Z7","PAKN",19
"1313","9Z8","PAKN",28
"1314","A14","PAKN",36
"1315","AK21","PAKN",45
"1316","AK56","PAKN",96
"1317","AK60","PAKN",50
"1318","AK81","PAKN",116
"1319","AK96","PAKN",35
"1320","AKK","PAKN",131
"1321","ALZ","PAKN",132
"1322","CLP","PAKN",60
"1323","IGG","PAKN",45
"1324","JZZ","PAKN",66
"1325","KEK","PAKN",48
"1326","KGK","PAKN",66
"1327","KKL","PAKN",115
"1328","KLL","PAKN",27
"1329","KMY","PAKN",128
"1330","KNW","PAKN",51
"1331","KOY","PAKN",120
"1332","LKK","PAKN",51
"1333","PADL","PAKN",62
"1334","PAII","PAKN",37
"1335","PAIL","PAKN",84
"1336","PAKN","PAKY",97
"1337","PAKN","PAPH",121
"1338","PAKN","PNP",72
"1339","PAKN","TPO",116
"1340","PAKN","UGB",83
"1341","PAKN","WSN",11
"1342","PAKN","Z25",69
"1343","PAKN","Z33",71
"1344","0E9","KMHK",185
"1345","00C","KMHK",542
"1346","00CO","KMHK",365
"1347","00IS","KMHK",354
"1348","00KS","KMHK",85
"1349","00MO","KMHK",158
"1350","00V","KMHK",369
"1351","01II","KMHK",474
"1352","01IS","KMHK",297
"1353","01KS","KMHK",39
"1354","01LL","KMHK",344
"1355","01NE","KMHK",210
"1356","01V","KMHK",373
"1357","02CO","KMHK",451
"1358","02II","KMHK",488
"1359","02IN","KMHK",519
"1360","02K","KMHK",289
"1361","02KS","KMHK",29
"1362","02MO","KMHK",263
"1363","02NE","KMHK",116
"1364","03CO","KMHK",380
"1365","03D","KMHK",220
"1366","03II","KMHK",424
"1367","03IN","KMHK",497
"1368","03KY","KMHK",438
"1369","03MO","KMHK",183
"1370","04IA","KMHK",242
"1371","04II","KMHK",550
"1372","04IL","KMHK",365
"1373","04IS","KMHK",380
"1374","04MO","KMHK",244
"1375","04V","KMHK",451
"1376","05CO","KMHK",390
"1377","05II","KMHK",549
"1378","05IN","KMHK",474
"1379","05IS","KMHK",346
"1380","05KS","KMHK",117
"1381","05V","KMHK",432
"1382","06I","KMHK",470
"1383","06II","KMHK",496
"1384","06IN","KMHK",437
"1385","06IS","KMHK",263
"1386","06MO","KMHK",87
"1387","06SN","KMHK",97
"1388","07I","KMHK",477
"1389","07IN","KMHK",501
"1390","07K","KMHK",134
"1391","07KS","KMHK",85
"1392","07KY","KMHK",520
"1393","07MO","KMHK",146
"1394","07V","KMHK",405
"1395","08IS","KMHK",358
"1396","08K","KMHK",112
"1397","08KS","KMHK",43
"1398","08LL","KMHK",394
"1399","08MO","KMHK",154
"1400","09CO","KMHK",335
"1401","09II","KMHK",481
"1402","09IN","KMHK",531
"1403","09KS","KMHK",76
"1404","09MO","KMHK",189
"1405","0C1","KMHK",90
"1406","0CO1","KMHK",396
"1407","0CO2","KMHK",480
"1408","0CO3","KMHK",368
"1409","0CO5","KMHK",324
"1410","0CO6","KMHK",545
"1411","0CO8","KMHK",392
"1412","0CO9","KMHK",450
"1413","0D6","KMHK",81
"1414","0G3","KMHK",79
"1415","0H1","KMHK",151
"1416","0H7","KMHK",242
"1417","0I2","KMHK",446
"1418","0IA4","KMHK",283
"1419","0IA5","KMHK",188
"1420","0II0","KMHK",533
"1421","0II1","KMHK",492
"1422","0II3","KMHK",499
"1423","0II5","KMHK",462
"1424","0II7","KMHK",507
"1425","0II9","KMHK",470
"1426","0IL2","KMHK",410
"1427","0IL3","KMHK",421
"1428","0IN1","KMHK",427
"1429","0IN2","KMHK",543
"1430","0IN3","KMHK",475
"1431","0IN4","KMHK",552
"1432","0IN5","KMHK",501
"1433","0IN9","KMHK",416
"1434","0IS4","KMHK",374
"1435","0IS5","KMHK",330
"1436","0J9","KMHK",108
"1437","0KS0","KMHK",46
"1438","0KS1","KMHK",62
"1439","0KS2","KMHK",73
"1440","0KS3","KMHK",70
"1441","0KS4","KMHK",54
"1442","0KS6","KMHK",106
"1443","0KS7","KMHK",104
"1444","0KS8","KMHK",122
"1445","0KS9","KMHK",98
"1446","0KY4","KMHK",462
"1447","0L8","KMHK",101
"1448","0LL1","KMHK",297
"1449","0LL2","KMHK",306
"1450","0LL3","KMHK",296
"1451","0LL5","KMHK",402
"1452","0LL8","KMHK",396
"1453","0MO0","KMHK",139
"1454","0MO1","KMHK",126
"1455","0MO2","KMHK",289
"1456","0MO3","KMHK",106
"1457","0MO5","KMHK",220
"1458","0MO6","KMHK",212
"1459","0MO8","KMHK",277
"1460","0MU0","KMHK",287
"1461","0MU1","KMHK",164
"1462","0MU4","KMHK",179
"1463","0MU7","KMHK",119
"1464","0MU8","KMHK",342
"1465","0N0","KMHK",104
"1466","0NE5","KMHK",271
"1467","0NE6","KMHK",101
"1468","0P1","KMHK",141
"1469","0R2","KMHK",163
"1470","0R9","KMHK",123
"1471","0S2","KMHK",123
"1472","0T3","KMHK",334
"1473","0V2","KMHK",441
"1474","0V3","KMHK",134
"1475","10CO","KMHK",259
"1476","10IN","KMHK",541
"1477","10IS","KMHK",311
"1478","10MO","KMHK",233
"1479","11II","KMHK",496
"1480","11IN","KMHK",472
"1481","11K","KMHK",126
"1482","11KS","KMHK",71
"1483","11LL","KMHK",377
"1484","11MO","KMHK",236
"1485","11V","KMHK",374
"1486","12CO","KMHK",521
"1487","12I","KMHK",544
"1488","12II","KMHK",545
"1489","12IN","KMHK",428
"1490","12K","KMHK",84
"1491","12KS","KMHK",82
"1492","12KY","KMHK",541
"1493","12LL","KMHK",352
"1494","12MO","KMHK",148
"1495","13IL","KMHK",289
"1496","13IN","KMHK",550
"1497","13IS","KMHK",283
"1498","13K","KMHK",79
"1499","13KS","KMHK",89
"1500","13KY","KMHK",457
"1501","13MO","KMHK",250
"1502","13NE","KMHK",204
"1503","14CO","KMHK",392
"1504","14KS","KMHK",98
"1505","14MO","KMHK",110
"1506","14NE","KMHK",122
"1507","15IS","KMHK",391
"1508","15KS","KMHK",51
"1509","15MO","KMHK",204
"1510","15NE","KMHK",121
"1511","16CO","KMHK",402
"1512","16IS","KMHK",373
"1513","16KS","KMHK",206
"1514","16MO","KMHK",262
"1515","16NE","KMHK",85
"1516","17IN","KMHK",540
"1517","17KS","KMHK",60
"1518","17KY","KMHK",457
"1519","17LL","KMHK",388
"1520","17MO","KMHK",240
"1521","17V","KMHK",288
"1522","18II","KMHK",495
"1523","18IN","KMHK",432
"1524","18K","KMHK",197
"1525","18KS","KMHK",108
"1526","18LL","KMHK",345
"1527","18NE","KMHK",93
"1528","18V","KMHK",377
"1529","19IN","KMHK",474
"1530","19IS","KMHK",384
"1531","19T","KMHK",195
"1532","1C1","KMHK",403
"1533","1CO2","KMHK",551
"1534","1CO3","KMHK",387
"1535","1CO4","KMHK",530
"1536","1CO5","KMHK",477
"1537","1CO7","KMHK",438
"1538","1CO8","KMHK",372
"1539","1F5","KMHK",176
"1540","1H0","KMHK",290
"1541","1H2","KMHK",380
"1542","1H3","KMHK",231
"1543","1H8","KMHK",404
"1544","1I3","KMHK",451
"1545","1I7","KMHK",432
"1546","1I8","KMHK",505
"1547","1I9","KMHK",469
"1548","1IA0","KMHK",136
"1549","1IA4","KMHK",155
"1550","1IA6","KMHK",118
"1551","1II0","KMHK",516
"1552","1II2","KMHK",553
"1553","1II3","KMHK",434
"1554","1II4","KMHK",498
"1555","1II8","KMHK",505
"1556","1IL0","KMHK",367
"1557","1IL1","KMHK",338
"1558","1IL2","KMHK",341
"1559","1IL4","KMHK",310
"1560","1IL8","KMHK",432
"1561","1IL9","KMHK",356
"1562","1IN0","KMHK",533
"1563","1IN1","KMHK",467
"1564","1IN3","KMHK",539
"1565","1IN4","KMHK",505
"1566","1IN5","KMHK",439
"1567","1IN6","KMHK",443
"1568","1IS0","KMHK",318
"1569","1IS2","KMHK",381
"1570","1IS3","KMHK",355
"1571","1K1","KMHK",84
"1572","1K3","KMHK",98
"1573","1K6","KMHK",101
"1574","1K7","KMHK",102
"1575","1K9","KMHK",228
"1576","1KS0","KMHK",84
"1577","1KS1","KMHK",79
"1578","1KS2","KMHK",75
"1579","1KS3","KMHK",11
"1580","1KS5","KMHK",27
"1581","1KS6","KMHK",44
"1582","1KS7","KMHK",223
"1583","1KS8","KMHK",206
"1584","1KS9","KMHK",81
"1585","1KY8","KMHK",556
"1586","1KY9","KMHK",513
"1587","1LL3","KMHK",265
"1588","1LL4","KMHK",325
"1589","1LL5","KMHK",317
"1590","1LL8","KMHK",432
"1591","1MO2","KMHK",109
"1592","1MO3","KMHK",130
"1593","1MO4","KMHK",138
"1594","1MO7","KMHK",229
"1595","1MO8","KMHK",189
"1596","1MO9","KMHK",166
"1597","1MU0","KMHK",189
"1598","1MU2","KMHK",95
"1599","1MU4","KMHK",139
"1600","1MU6","KMHK",98
"1601","1MU7","KMHK",348
"1602","1MU8","KMHK",82
"1603","1V5","KMHK",400
"1604","1V6","KMHK",398
"1605","1V8","KMHK",449
"1606","1V9","KMHK",533
"1607","1Y3","KMHK",147
"1608","20II","KMHK",484
"1609","20IN","KMHK",495
"1610","20KS","KMHK",88
"1611","20MO","KMHK",110
"1612","20V","KMHK",453
"1613","21IN","KMHK",529
"1614","21KY","KMHK",525
"1615","21MO","KMHK",118
"1616","21NE","KMHK",73
"1617","22CO","KMHK",350
"1618","22II","KMHK",426
"1619","22IS","KMHK",275
"1620","22MO","KMHK",233
"1621","22NE","KMHK",87
"1622","23CO","KMHK",343
"1623","23IS","KMHK",280
"1624","23KS","KMHK",81
"1625","23KY","KMHK",411
"1626","23MO","KMHK",116
"1627","24IN","KMHK",484
"1628","24KS","KMHK",94
"1629","24KY","KMHK",452
"1630","24LL","KMHK",345
"1631","24MO","KMHK",190
"1632","25CO","KMHK",426
"1633","25IL","KMHK",318
"1634","25KS","KMHK",119
"1635","25LL","KMHK",401
"1636","25MO","KMHK",154
"1637","26IN","KMHK",516
"1638","26IS","KMHK",389
"1639","26V","KMHK",296
"1640","27CO","KMHK",403
"1641","27IN","KMHK",491
"1642","27IS","KMHK",381
"1643","27KS","KMHK",236
"1644","27LL","KMHK",302
"1645","27MO","KMHK",164
"1646","28II","KMHK",504
"1647","28IN","KMHK",434
"1648","28IS","KMHK",343
"1649","28KS","KMHK",80
"1650","28LL","KMHK",364
"1651","28MO","KMHK",151
"1652","29IL","KMHK",336
"1653","29IN","KMHK",532
"1654","29KS","KMHK",43
"1655","29MO","KMHK",101
"1656","29NE","KMHK",230
"1657","2C6","KMHK",320
"1658","2CO1","KMHK",369
"1659","2CO2","KMHK",444
"1660","2CO3","KMHK",387
"1661","2CO5","KMHK",377
"1662","2CO9","KMHK",429
"1663","2H0","KMHK",365
"1664","2I0","KMHK",451
"1665","2I3","KMHK",488
"1666","2II0","KMHK",493
"1667","2II2","KMHK",417
"1668","2II3","KMHK",507
"1669","2II6","KMHK",494
"1670","2IL2","KMHK",395
"1671","2IL4","KMHK",278
"1672","2IL5","KMHK",404
"1673","2IL6","KMHK",282
"1674","2IL7","KMHK",314
"1675","2IN0","KMHK",540
"1676","2IN2","KMHK",532
"1677","2IN3","KMHK",463
"1678","2IN5","KMHK",522
"1679","2IN6","KMHK",501
"1680","2IN9","KMHK",492
"1681","2IS5","KMHK",352
"1682","2IS8","KMHK",316
"1683","2K0","KMHK",380
"1684","2K3","KMHK",256
"1685","2K6","KMHK",107
"1686","2K7","KMHK",113
"1687","2K8","KMHK",123
"1688","2KS0","KMHK",119
"1689","2KS1","KMHK",76
"1690","2KS2","KMHK",91
"1691","2KS3","KMHK",87
"1692","2KS4","KMHK",125
"1693","2KS8","KMHK",81
"1694","2KS9","KMHK",53
"1695","2KY4","KMHK",519
"1696","2KY8","KMHK",559
"1697","2LL0","KMHK",368
"1698","2LL3","KMHK",359
"1699","2LL4","KMHK",359
"1700","2LL5","KMHK",403
"1701","2LL7","KMHK",381
"1702","2M1","KMHK",121
"1703","2M5","KMHK",164
"1704","2MO0","KMHK",133
"1705","2MO1","KMHK",188
"1706","2MO2","KMHK",112
"1707","2MO4","KMHK",132
"1708","2MO5","KMHK",236
"1709","2MO6","KMHK",211
"1710","2MO7","KMHK",262
"1711","2MO9","KMHK",104
"1712","2NE0","KMHK",173
"1713","2NE5","KMHK",190
"1714","2NE6","KMHK",238
"1715","2NE7","KMHK",264
"1716","2NE9","KMHK",253
"1717","2R2","KMHK",475
"1718","2T2","KMHK",380
"1719","2V1","KMHK",503
"1720","2V2","KMHK",398
"1721","2V5","KMHK",265
"1722","2V6","KMHK",286
"1723","2V8","KMHK",337
"1724","30K","KMHK",196
"1725","30LL","KMHK",295
"1726","30MO","KMHK",216
"1727","30NE","KMHK",118
"1728","31II","KMHK",550
"1729","31IN","KMHK",459
"1730","31KS","KMHK",91
"1731","31LL","KMHK",382
"1732","31MO","KMHK",106
"1733","32CO","KMHK",397
"1734","32II","KMHK",541
"1735","32IS","KMHK",269
"1736","32KS","KMHK",188
"1737","32MO","KMHK",318
"1738","33IL","KMHK",365
"1739","33IN","KMHK",441
"1740","33IS","KMHK",369
"1741","33K","KMHK",148
"1742","33KS","KMHK",50
"1743","33KY","KMHK",463
"1744","33LL","KMHK",391
"1745","33MO","KMHK",168
"1746","33V","KMHK",453
"1747","34CO","KMHK",376
"1748","34II","KMHK",516
"1749","34IL","KMHK",312
"1750","34IN","KMHK",544
"1751","35CO","KMHK",337
"1752","35IN","KMHK",501
"1753","35IS","KMHK",369
"1754","35KS","KMHK",101
"1755","35NE","KMHK",263
"1756","36CO","KMHK",368
"1757","36II","KMHK",481
"1758","36IS","KMHK",294
"1759","36K","KMHK",227
"1760","36KS","KMHK",118
"1761","36KY","KMHK",550
"1762","36MO","KMHK",249
"1763","37IL","KMHK",346
"1764","37IN","KMHK",463
"1765","37KS","KMHK",101
"1766","37LL","KMHK",321
"1767","37MO","KMHK",119
"1768","37NE","KMHK",90
"1769","37V","KMHK",166
"1770","38IN","KMHK",480
"1771","38IS","KMHK",260
"1772","38K","KMHK",87
"1773","38KS","KMHK",87
"1774","38MO","KMHK",271
"1775","38NE","KMHK",111
"1776","39CO","KMHK",519
"1777","39IL","KMHK",344
"1778","39IN","KMHK",524
"1779","39IS","KMHK",381
"1780","39K","KMHK",53
"1781","39KS","KMHK",67
"1782","3AE","KMHK",513
"1783","3AU","KMHK",90
"1784","3CO0","KMHK",531
"1785","3CO1","KMHK",522
"1786","3CO2","KMHK",320
"1787","3CO7","KMHK",368
"1788","3DW","KMHK",199
"1789","3EV","KMHK",432
"1790","3EX","KMHK",116
"1791","3FK","KMHK",494
"1792","3GN","KMHK",98
"1793","3GV","KMHK",115
"1794","3I1","KMHK",506
"1795","3I3","KMHK",433
"1796","3II1","KMHK",468
"1797","3II2","KMHK",415
"1798","3II3","KMHK",556
"1799","3II5","KMHK",470
"1800","3II9","KMHK",539
"1801","3IL1","KMHK",328
"1802","3IL9","KMHK",348
"1803","3IN2","KMHK",506
"1804","3IN4","KMHK",532
"1805","3IN6","KMHK",453
"1806","3IN9","KMHK",492
"1807","3IP","KMHK",109
"1808","3IS1","KMHK",348
"1809","3IS2","KMHK",293
"1810","3IS3","KMHK",351
"1811","3IS5","KMHK",330
"1812","3IS6","KMHK",370
"1813","3IS7","KMHK",368
"1814","3JC","KMHK",10
"1815","3K3","KMHK",249
"1816","3K4","KMHK",337
"1817","3K5","KMHK",256
"1818","3K6","KMHK",322
"1819","3K7","KMHK",223
"1820","3K8","KMHK",170
"1821","3KK","KMHK",419
"1822","3KS1","KMHK",43
"1823","3KS3","KMHK",107
"1824","3KS4","KMHK",239
"1825","3KS5","KMHK",84
"1826","3KS7","KMHK",85
"1827","3KS8","KMHK",129
"1828","3KY1","KMHK",459
"1829","3KY4","KMHK",538
"1830","3KY6","KMHK",495
"1831","3KY7","KMHK",484
"1832","3KY9","KMHK",546
"1833","3LF","KMHK",326
"1834","3LL1","KMHK",332
"1835","3LL3","KMHK",421
"1836","3LL6","KMHK",359
"1837","3LL8","KMHK",388
"1838","3LS7","KMHK",336
"1839","3MO","KMHK",155
"1840","3MO2","KMHK",251
"1841","3MO6","KMHK",103
"1842","3MO7","KMHK",111
"1843","3MO8","KMHK",112
"1844","3MY","KMHK",340
"1845","3NE3","KMHK",147
"1846","3NE9","KMHK",316
"1847","3OH8","KMHK",557
"1848","3R8","KMHK",510
"1849","3SQ","KMHK",289
"1850","3SY","KMHK",481
"1851","3TA","KMHK",117
"1852","3V4","KMHK",338
"1853","3V5","KMHK",396
"1854","3VS","KMHK",183
"1855","40IL","KMHK",385
"1856","40IN","KMHK",491
"1857","40KS","KMHK",68
"1858","40KY","KMHK",540
"1859","40LL","KMHK",360
"1860","40MO","KMHK",87
"1861","41MO","KMHK",184
"1862","42IL","KMHK",356
"1863","42K","KMHK",129
"1864","42KS","KMHK",111
"1865","42MO","KMHK",302
"1866","42V","KMHK",233
"1867","43CO","KMHK",373
"1868","43I","KMHK",505
"1869","43IN","KMHK",427
"1870","43K","KMHK",50
"1871","43KS","KMHK",12
"1872","43MO","KMHK",110
"1873","43NE","KMHK",151
"1874","44CO","KMHK",520
"1875","44II","KMHK",531
"1876","44IN","KMHK",456
"1877","44IS","KMHK",263
"1878","44KS","KMHK",95
"1879","44MO","KMHK",93
"1880","45IN","KMHK",510
"1881","45K","KMHK",49
"1882","45KS","KMHK",105
"1883","45MO","KMHK",283
"1884","46CO","KMHK",370
"1885","46KS","KMHK",85
"1886","46MO","KMHK",284
"1887","46NE","KMHK",246
"1888","47CO","KMHK",391
"1889","47II","KMHK",518
"1890","47IL","KMHK",402
"1891","47IN","KMHK",428
"1892","47K","KMHK",68
"1893","47KS","KMHK",69
"1894","47MO","KMHK",130
"1895","47V","KMHK",197
"1896","48CO","KMHK",386
"1897","48IL","KMHK",301
"1898","48K","KMHK",157
"1899","48KS","KMHK",41
"1900","48V","KMHK",392
"1901","49CO","KMHK",362
"1902","49II","KMHK",450
"1903","49IN","KMHK",433
"1904","49K","KMHK",115
"1905","49KS","KMHK",4
"1906","49NE","KMHK",220
"1907","4C8","KMHK",212
"1908","4CO0","KMHK",489
"1909","4CO2","KMHK",396
"1910","4CO3","KMHK",285
"1911","4CO7","KMHK",374
"1912","4CO8","KMHK",380
"1913","4D9","KMHK",137
"1914","4H8","KMHK",256
"1915","4I7","KMHK",459
"1916","4IA4","KMHK",266
"1917","4IA6","KMHK",137
"1918","4II0","KMHK",467
"1919","4II2","KMHK",499
"1920","4II3","KMHK",463
"1921","4II6","KMHK",499
"1922","4II7","KMHK",474
"1923","4II8","KMHK",510
"1924","4II9","KMHK",460
"1925","4IL2","KMHK",388
"1926","4IL4","KMHK",367
"1927","4IL7","KMHK",425
"1928","4IL8","KMHK",353
"1929","4IL9","KMHK",394
"1930","4IN4","KMHK",443
"1931","4IN7","KMHK",442
"1932","4IN8","KMHK",454
"1933","4IS1","KMHK",384
"1934","4IS5","KMHK",321
"1935","4IS6","KMHK",364
"1936","4IS7","KMHK",387
"1937","4IS8","KMHK",334
"1938","4IS9","KMHK",314
"1939","4K3","KMHK",128
"1940","4K6","KMHK",218
"1941","4KS1","KMHK",81
"1942","4KS2","KMHK",81
"1943","4KS6","KMHK",65
"1944","4KS7","KMHK",97
"1945","4KS8","KMHK",231
"1946","4KY4","KMHK",452
"1947","4KY7","KMHK",561
"1948","4KY8","KMHK",521
"1949","4LL5","KMHK",247
"1950","4LL6","KMHK",313
"1951","4LL9","KMHK",338
"1952","4MO","KMHK",245
"1953","4MO0","KMHK",125
"1954","4MO1","KMHK",114
"1955","4MO2","KMHK",213
"1956","4MO3","KMHK",200
"1957","4MO4","KMHK",109
"1958","4MO5","KMHK",165
"1959","4MO6","KMHK",259
"1960","4MO7","KMHK",89
"1961","4MO8","KMHK",112
"1962","4MO9","KMHK",121
"1963","4NE0","KMHK",249
"1964","4NE4","KMHK",255
"1965","4NE5","KMHK",257
"1966","4NE8","KMHK",220
"1967","4NE9","KMHK",247
"1968","4U8","KMHK",443
"1969","4V1","KMHK",392
"1970","50I","KMHK",437
"1971","50II","KMHK",462
"1972","50IN","KMHK",434
"1973","50K","KMHK",62
"1974","50KS","KMHK",128
"1975","50NE","KMHK",126
"1976","51CO","KMHK",521
"1977","51IL","KMHK",384
"1978","51IN","KMHK",458
"1979","51IS","KMHK",279
"1980","51K","KMHK",84
"1981","51KS","KMHK",39
"1982","51LL","KMHK",397
"1983","52CO","KMHK",373
"1984","52IL","KMHK",405
"1985","52IN","KMHK",426
"1986","52K","KMHK",31
"1987","52KS","KMHK",73
"1988","52MO","KMHK",315
"1989","53CO","KMHK",286
"1990","53II","KMHK",556
"1991","53IL","KMHK",383
"1992","53IN","KMHK",490
"1993","53K","KMHK",51
