"","start","end","distance"
"260","19K","61KS",64
"261","19K","61MO",125
"262","19K","62K",96
"263","19K","62MO",25
"264","19K","63K",3
"265","19K","63KS",120
"266","19K","63M",145
"267","19K","64MO",57
"268","19K","66KS",114
"269","19K","66MO",171
"270","19K","67MO",81
"271","19K","68KS",15
"272","19K","69IS",187
"273","19K","69K",82
"274","19K","69KS",9
"275","19K","69MO",105
"276","19K","6K1",96
"277","19K","6K2",134
"278","19K","6K9",170
"279","19K","6KS5",33
"280","19K","6KS6",213
"281","19K","6KS7",197
"282","19K","6KS8",77
"283","19K","6M6",158
"284","19K","6MO0",177
"285","19K","6MO1",75
"286","19K","6MO3",144
"287","19K","6MO4",58
"288","19K","6MO6",147
"289","19K","6MO7",124
"290","19K","6MO8",125
"291","19K","6MO9",7
"292","19K","6OK6",175
"293","19K","70K",147
"294","19K","70MO",95
"295","19K","70OK",117
"296","19K","71K",148
"297","19K","71KS",39
"298","19K","71MO",64
"299","19K","72K",148
"300","19K","72KS",33
"301","19K","73MU",123
"302","19K","74KS",58
"303","19K","74MU",163
"304","19K","75K",94
"305","19K","75U",64
"306","19K","76MO",114
"307","19K","77KS",137
"308","19K","77MO",108
"309","19K","77Y",104
"310","19K","78KS",105
"311","19K","78MO",154
"312","19K","78MU",90
"313","19K","78Y",95
"314","19K","79MU",34
"315","19K","7K6",189
"316","19K","7KS0",46
"317","19K","7KS2",42
"318","19K","7KS3",74
"319","19K","7KS4",65
"320","19K","7KS5",68
"321","19K","7KS6",12
"322","19K","7KS9",149
"323","19K","7L7",89
"324","19K","7MO",109
"325","19K","7MO1",141
"326","19K","7MO2",148
"327","19K","7MO4",41
"328","19K","7MO5",36
"329","19K","7MO6",43
"330","19K","7MO7",49
"331","19K","7MO8",46
"332","19K","7MO9",137
"333","19K","7NE0",154
"334","19K","7V7",200
"335","19K","80MO",101
"336","19K","80NE",177
"337","19K","83KS",85
"338","19K","83MU",121
"339","19K","85MO",120
"340","19K","85NE",173
"341","19K","86KS",12
"342","19K","87IS",166
"343","19K","87K",61
"344","19K","87KS",180
"345","19K","87MO",16
"346","19K","88IS",167
"347","19K","88NE",118
"348","19K","89K",50
"349","19K","89MO",11
"350","19K","8K2",187
"351","19K","8K5",78
"352","19K","8K6",185
"353","19K","8KS1",30
"354","19K","8KS2",92
"355","19K","8KS3",77
"356","19K","8KS5",93
"357","19K","8KS7",3
"358","19K","8KS8",114
"359","19K","8KS9",44
"360","19K","8MO3",45
"361","19K","8MO4",178
"362","19K","8MO5",64
"363","19K","8MO7",48
"364","19K","8MO8",116
"365","19K","8OK7",190
"366","19K","8WC",189
"367","19K","90KS",49
"368","19K","93MO",100
"369","19K","94MO",174
"370","19K","95MO",141
"371","19K","97KS",8
"372","19K","97MO",96
"373","19K","98MO",171
"374","19K","98Y",200
"375","19K","9IS0",185
"376","19K","9K0",96
"377","19K","9K3",187
"378","19K","9K4",37
"379","19K","9K5",76
"380","19K","9K6",119
"381","19K","9K7",171
"382","19K","9K8",180
"383","19K","9K9",119
"384","19K","9KS1",24
"385","19K","9KS4",183
"386","19K","9KS5",165
"387","19K","9KS7",50
"388","19K","9KS9",142
"389","19K","9LL0",169
"390","19K","9MO3",54
"391","19K","9MO4",74
"392","19K","9MO5",124
"393","19K","9MO6",83
"394","19K","9MO9",78
"395","19K","9NE2",172
"396","19K","9NE9",163
"397","19K","C10",210
"398","19K","H17",97
"399","19K","H19",161
"400","19K","H20",98
"401","19K","H21",101
"402","19K","H41",132
"403","19K","H57",197
"404","19K","H58",129
"405","19K","H79",98
"406","19K","I48",187
"407","19K","I63",191
"408","19K","IA44",117
"409","19K","IA59",176
"410","19K","IA65",180
"411","19K","IA76",131
"412","19K","IL46",194
"413","19K","IL52",189
"414","19K","IL53",192
"415","19K","IL84",194
"416","19K","IS45",168
"417","19K","IS51",187
"418","19K","IS55",201
"419","19K","IS56",189
"420","19K","IS66",191
"421","19K","K01",112
"422","19K","K07",140
"423","19K","K15",98
"424","19K","K19",90
"425","19K","K26",61
"426","19K","K32",147
"427","19K","K33",157
"428","19K","K34",17
"429","19K","K38",128
"430","19K","K39",172
"431","19K","K43",129
"432","19K","K47",18
"433","19K","K50",142
"434","19K","K51",208
"435","19K","K52",143
"436","19K","K57",107
"437","19K","K59",56
"438","19K","K61",171
"439","19K","K63",93
"440","19K","K64",28
"441","19K","K67",99
"442","19K","K68",42
"443","19K","K71",169
"444","19K","K78",124
"445","19K","K81",21
"446","19K","K83",88
"447","19K","K87",80
"448","19K","K88",66
